iter	RMSE
0	0.226641148
1	0.2259282505
2	0.2251492687
3	0.2243293248
4	0.2237732669
5	0.2231310853
6	0.2218209229
7	0.2213323016
8	0.2208972945
9	0.219786867
10	0.2193402788
11	0.2183519923
12	0.2177629844
13	0.2173897482
14	0.2171135552
15	0.2168111849
16	0.2165615537
17	0.2157424869
18	0.2154699835
19	0.2148348523
20	0.2145971592
21	0.2143437663
22	0.2138019074
23	0.2135374664
24	0.2133975852
25	0.2132020658
26	0.2126820309
27	0.2125203856
28	0.21232241
29	0.2121432785
30	0.2119509763
31	0.2117729115
32	0.2113286267
33	0.2110439298
34	0.2108242159
35	0.2106416182
36	0.2102676839
37	0.2099886943
38	0.2098783724
39	0.2097017156
40	0.2093847146
41	0.2090874887
42	0.2089220224
43	0.2087895397
44	0.2084788448
45	0.2081032385
46	0.2079029239
47	0.2077348946
48	0.2075918023
49	0.2074021902
50	0.2072450814
51	0.2070804618
52	0.2068213663
53	0.2066733005
54	0.206498299
55	0.2062579191
56	0.2060716311
57	0.2058538182
58	0.205737255
59	0.2055949167
60	0.2054205571
61	0.2053097061
62	0.205178382
63	0.2050925861
64	0.2050113498
65	0.2048711705
66	0.2046723298
67	0.2045598294
68	0.2044619698
69	0.2043729073
70	0.204181387
71	0.2040792638
72	0.2039102201
73	0.2038259785
74	0.2036951064
75	0.2035925072
76	0.2034362007
77	0.2033555045
78	0.2031930707
79	0.2031096459
80	0.2030280056
81	0.2029164874
82	0.202823573
83	0.2027079987
84	0.2025739028
85	0.2024580948
86	0.2022735581
87	0.2021156593
88	0.2019608952
89	0.2018123647
90	0.2017104049
91	0.2015641189
92	0.2014710312
93	0.2013511257
94	0.2012446064
95	0.2011007777
96	0.2010098606
97	0.2007910104
98	0.200599636
99	0.2003917559
100	0.2002711942
101	0.2001346112
102	0.2000437856
103	0.1999032561
104	0.1997392285
105	0.1996476954
106	0.1995383103
107	0.1993839698
108	0.1992929998
109	0.1991413919
110	0.1990266904
111	0.1988797344
112	0.1987402825
113	0.1986508088
114	0.1984987039
115	0.1983666791
116	0.1982225711
117	0.1981426159
118	0.1979559882
119	0.1978674925
120	0.1977260425
121	0.1975458564
122	0.1973838382
123	0.1972953257
124	0.1971706395
125	0.197079526
126	0.196909237
127	0.1968024251
128	0.1966966232
129	0.1965583489
130	0.1964206454
131	0.1963329026
132	0.1961980467
133	0.1960744909
134	0.1958890455
135	0.1957349483
136	0.1955850793
137	0.1954867042
138	0.1953453684
139	0.1951978139
140	0.1950984974
141	0.1949153215
142	0.1947844785
143	0.1946370569
144	0.1945183655
145	0.1944238733
146	0.1942951107
147	0.1941496588
148	0.1939912717
149	0.1938853624
150	0.193681582
151	0.1935370693
152	0.1934174766
153	0.1933052554
154	0.1931465101
155	0.1930471965
156	0.1929342238
157	0.1928343189
158	0.192717317
159	0.1926126301
160	0.1925156162
161	0.1924010314
162	0.1922326291
163	0.1920865964
164	0.1920153708
165	0.1919031063
166	0.1917990929
167	0.1916884537
168	0.1916042867
169	0.1914842458
170	0.191336316
171	0.191230478
172	0.1911061899
173	0.1909820746
174	0.1908966535
175	0.1907853422
176	0.1906760514
177	0.1905897108
178	0.1905173967
179	0.1903407847
180	0.1902339904
181	0.1901244273
182	0.1899578374
183	0.1898443946
184	0.1896608665
185	0.1894893214
186	0.1893872133
187	0.18926205
188	0.1891527213
189	0.1890510889
190	0.1889414821
191	0.1888543349
192	0.1887836647
193	0.1886798358
194	0.1885656579
195	0.1884795272
196	0.1883936748
197	0.1883047497
198	0.1882372389
199	0.1881410419
200	0.1880438393
201	0.1879542763
202	0.1878016846
203	0.1877338498
204	0.187649471
205	0.1875424022
206	0.1874443873
207	0.1872816978
208	0.1871557692
209	0.1870193045
210	0.1868433595
211	0.1867396657
212	0.1866212304
213	0.1865235261
214	0.1863788309
215	0.1862836508
216	0.1862034073
217	0.1860900414
218	0.185945523
219	0.1857689785
220	0.18564588
221	0.1854878215
222	0.1853128145
223	0.1852043849
224	0.1850625752
225	0.1849823074
226	0.1848527455
227	0.1847509291
228	0.1846214214
229	0.184528348
230	0.1844396258
231	0.1843586374
232	0.1842317994
233	0.1841095957
234	0.1840165368
235	0.1839246599
236	0.183841632
237	0.1837556054
238	0.1836362374
239	0.1834975403
240	0.1833713623
241	0.1832939416
242	0.1831825264
243	0.1831100104
244	0.1830273014
245	0.1829310332
246	0.1828261357
247	0.1827118102
248	0.1825454567
249	0.1824839174
250	0.1824030535
251	0.1822302393
252	0.1821449353
253	0.1820665935
254	0.1819647994
255	0.1818511428
256	0.181775784
257	0.1816978323
258	0.1816301664
259	0.1815309218
260	0.1814156641
261	0.1813454163
262	0.1812483534
263	0.1811287988
264	0.1810567148
265	0.1809590348
266	0.1808641709
267	0.1807351522
268	0.1806253477
269	0.1804894799
270	0.1803913887
