iter	Passed	Remaining
0	77	131883
1	84	72027
2	91	51837
3	97	41585
4	104	35566
5	110	31316
6	115	28184
7	121	25935
8	127	24145
9	134	22828
10	140	21685
11	146	20790
12	152	19928
13	157	19075
14	161	18304
15	166	17608
16	170	16943
17	174	16397
18	178	15867
19	182	15395
20	185	14960
21	189	14571
22	193	14203
23	197	13865
24	201	13581
25	205	13299
26	209	13043
27	213	12807
28	216	12580
29	220	12380
30	224	12177
31	229	12022
32	233	11860
33	237	11706
34	241	11563
35	245	11411
36	249	11277
37	253	11147
38	257	11022
39	261	10914
40	265	10795
41	269	10709
42	273	10601
43	277	10497
44	280	10395
45	284	10302
46	288	10223
47	292	10141
48	296	10056
49	300	9985
50	304	9913
51	308	9837
52	312	9764
53	316	9697
54	320	9640
55	324	9584
56	328	9519
57	332	9462
58	336	9414
59	340	9357
60	344	9304
61	347	9254
62	351	9207
63	355	9158
64	359	9108
65	363	9055
66	367	9006
67	370	8963
68	374	8919
69	378	8874
70	382	8832
71	386	8795
72	390	8758
73	394	8726
74	398	8694
75	402	8659
76	406	8618
77	410	8587
78	414	8559
79	418	8531
80	422	8499
81	426	8463
82	430	8445
83	434	8418
84	438	8389
85	442	8363
86	446	8335
87	450	8308
88	454	8285
89	458	8261
90	462	8232
91	466	8206
92	470	8182
93	474	8158
94	478	8136
95	482	8112
96	486	8088
97	490	8067
98	494	8047
99	498	8024
100	501	8000
101	505	7978
102	509	7959
103	513	7937
104	517	7914
105	521	7900
106	525	7884
107	529	7860
108	533	7839
109	537	7822
110	541	7809
111	545	7791
112	549	7772
113	553	7754
114	557	7734
115	561	7714
116	564	7697
117	568	7679
118	572	7660
119	576	7647
120	580	7634
121	584	7618
122	589	7605
123	592	7587
124	596	7573
125	600	7558
126	604	7541
127	608	7526
128	612	7511
129	616	7503
130	620	7487
131	624	7472
132	628	7457
133	632	7443
134	636	7427
135	639	7410
136	643	7395
137	647	7381
138	651	7367
139	655	7352
140	658	7336
141	662	7324
142	666	7310
143	670	7295
144	674	7281
145	678	7267
146	681	7255
147	685	7243
148	689	7233
149	694	7223
150	698	7211
151	702	7200
152	705	7186
153	709	7176
154	713	7164
155	717	7151
156	721	7139
157	725	7130
158	729	7119
159	733	7106
160	736	7094
161	740	7085
162	745	7078
163	749	7067
164	752	7055
165	756	7043
166	760	7031
167	764	7023
168	768	7014
169	772	7002
170	776	6990
171	780	6979
172	783	6968
173	787	6959
174	791	6950
175	795	6939
176	799	6928
177	803	6919
178	807	6909
179	811	6903
180	815	6892
181	819	6883
182	823	6873
183	827	6863
184	830	6853
185	834	6844
186	838	6835
187	842	6826
188	846	6816
189	850	6806
190	854	6796
191	857	6787
192	861	6778
193	865	6768
194	869	6759
195	873	6750
196	877	6742
197	881	6732
198	884	6723
199	888	6715
200	892	6707
201	896	6699
202	900	6690
203	904	6684
204	909	6678
205	912	6670
206	916	6660
207	920	6655
208	924	6645
209	928	6637
210	932	6630
211	936	6623
212	940	6614
213	944	6606
214	948	6598
215	952	6590
216	955	6581
217	959	6572
218	963	6562
219	967	6554
220	970	6546
221	974	6538
222	978	6530
223	982	6525
224	986	6517
225	990	6509
226	994	6501
227	998	6496
228	1002	6490
229	1006	6482
230	1010	6474
231	1014	6467
232	1018	6458
233	1022	6451
234	1026	6444
235	1030	6438
236	1033	6430
237	1037	6422
238	1041	6415
239	1045	6408
240	1049	6401
241	1053	6395
242	1057	6388
243	1061	6383
244	1065	6376
245	1069	6368
246	1073	6361
247	1077	6354
248	1081	6348
249	1085	6341
250	1089	6335
251	1093	6328
252	1096	6320
253	1100	6315
254	1104	6307
255	1108	6299
256	1112	6292
257	1116	6286
258	1120	6279
259	1123	6270
260	1127	6262
261	1131	6256
262	1135	6250
263	1139	6243
264	1143	6238
265	1147	6232
266	1151	6226
267	1155	6221
268	1159	6215
269	1163	6208
270	1167	6202
271	1170	6194
272	1174	6188
273	1178	6182
274	1182	6175
275	1186	6167
276	1190	6160
277	1194	6155
278	1198	6149
279	1202	6143
280	1206	6138
281	1210	6135
282	1214	6129
283	1218	6124
284	1222	6118
285	1226	6112
286	1230	6105
287	1234	6099
288	1238	6093
289	1242	6087
290	1246	6081
291	1250	6076
292	1254	6071
293	1258	6065
294	1262	6059
295	1266	6052
296	1270	6046
297	1273	6040
298	1277	6034
299	1281	6028
300	1285	6022
301	1289	6016
302	1293	6010
303	1297	6003
304	1301	5997
305	1304	5991
306	1308	5984
307	1312	5978
308	1316	5972
309	1319	5965
310	1323	5959
311	1327	5953
312	1332	5949
313	1336	5944
314	1339	5938
315	1343	5932
316	1348	5928
317	1351	5922
318	1355	5915
319	1359	5910
320	1363	5905
321	1367	5899
322	1371	5893
323	1375	5888
324	1379	5882
325	1383	5876
326	1387	5871
327	1391	5868
328	1395	5862
329	1399	5856
330	1403	5851
331	1407	5846
332	1411	5841
333	1415	5835
334	1419	5830
335	1423	5824
336	1427	5818
337	1430	5812
338	1434	5807
339	1438	5801
