number,value,datetime_start,datetime_complete,duration,params_clf_depth,params_clf_iterations,params_clf_l2,params_clf_lr,params_n_components,params_reg_depth,params_reg_iterations,params_reg_l2,params_reg_lr,state
0,-999.0,2026-01-10 01:12:11.192341,2026-01-10 01:12:13.514862,0 days 00:00:02.322521,7,1000,2.4041677639819286,0.03968793330444373,3,3,500,6.41003510568888,0.07348118405270448,COMPLETE
1,-999.0,2026-01-10 01:12:13.516155,2026-01-10 01:12:13.587582,0 days 00:00:00.071427,8,300,2.9110519961044856,0.06798962421591129,4,4,500,5.72280788469014,0.02014847788415866,COMPLETE
2,-999.0,2026-01-10 01:12:13.589815,2026-01-10 01:12:13.672031,0 days 00:00:00.082216,6,500,3.629301836816963,0.013787764619353767,3,5,700,2.7970640394252375,0.06097839109531514,COMPLETE
3,-999.0,2026-01-10 01:12:13.673560,2026-01-10 01:12:13.751062,0 days 00:00:00.077502,3,700,2.5347171131856236,0.04050837781329675,3,8,400,8.275576133048151,0.0923915031962725,COMPLETE
4,0.9833403849903906,2026-01-10 01:12:13.753042,2026-01-10 01:12:17.112116,0 days 00:00:03.359074,7,300,2.0983441136030097,0.027551959649510765,2,3,800,3.3290198344001523,0.08115595675970502,COMPLETE
5,-999.0,2026-01-10 01:12:17.113196,2026-01-10 01:12:17.191872,0 days 00:00:00.078676,6,500,2.6636900997297435,0.03521358805467869,3,7,1200,9.053446153848839,0.08699593128513321,COMPLETE
6,-999.0,2026-01-10 01:12:17.193863,2026-01-10 01:12:17.267167,0 days 00:00:00.073304,3,1000,1.4070456001948426,0.015703008378806716,3,5,600,8.458637582367365,0.01867880257107068,COMPLETE
7,-999.0,2026-01-10 01:12:17.269423,2026-01-10 01:12:17.375051,0 days 00:00:00.105628,6,500,8.219772826786357,0.013833249975219963,3,8,400,2.7884411338075514,0.059189513354636465,COMPLETE
8,0.9610692847859352,2026-01-10 01:12:17.377185,2026-01-10 01:12:23.144604,0 days 00:00:05.767419,7,900,7.941433120173512,0.05358055009231865,2,5,400,8.767930832880342,0.013057771348997228,COMPLETE
9,-999.0,2026-01-10 01:12:23.145660,2026-01-10 01:12:23.222127,0 days 00:00:00.076467,3,500,3.9266498982407234,0.020463613363481608,3,6,1000,5.249934326457543,0.07712811947156349,COMPLETE
10,0.9573718099320546,2026-01-10 01:12:23.223881,2026-01-10 01:12:25.941384,0 days 00:00:02.717503,5,300,5.825697298279836,0.023875449127619887,2,3,900,1.426531919522738,0.04107354799669466,COMPLETE
11,0.9736164522640182,2026-01-10 01:12:25.942465,2026-01-10 01:12:33.419162,0 days 00:00:07.476697,8,800,9.200450188733383,0.06632442559471771,2,4,800,3.7729507501515895,0.011874577663985664,COMPLETE
12,0.990172592600275,2026-01-10 01:12:33.420221,2026-01-10 01:12:40.812234,0 days 00:00:07.392013,8,800,9.952086859502932,0.09679633969906795,2,4,800,4.045893238182957,0.03310430981184036,COMPLETE
