Transformation,Train_R2,Train_RMSE,Val_R2,Val_RMSE,Status
Log,0.9807028049750627,0.03172482723011762,0.8664205606704581,0.08370966705594816,Success
Quantile-Normal,0.9758875200398017,0.035462807327607766,0.8601806821020263,0.08564251176384295,Success
None (Baseline),0.9783924240557842,0.03357029801849221,0.8591130704232924,0.08596885819713715,Success
Sqrt,0.9779168689299612,0.033937707142832195,0.8497815888028565,0.08877023888640921,Success
Yeo-Johnson,0.9776285653949911,0.03415852349939804,0.8450267196751055,0.09016421779230999,Success
Quantile-Uniform,0.9703920456339743,0.0392967264789662,0.842541780062052,0.09088421808839306,Success
Cube Root,0.7956726750184262,0.10323225099715319,0.3109968845526765,0.19011500673554396,Success
Square,-3.2319355385400295,0.46980939202030797,-3.030898504118154,0.45983999098375533,Success
Reciprocal,-5157.851377754729,16.40320380233153,-1479.169724014452,8.811737777770787,Success
Box-Cox,,,,,Failed: The Box-Cox transformation can only be applied to strictly positive data
